pinyin	phoneme	syll	syll_n	letter_n	sound_n	
de2sheng1	de2$eŋ1	['de', 'sheng']	2	7	5	
bu2shi4	bu2$i4	['bu', 'shi']	2	5	4	
tai4tai	t#4t#	['tai', 'tai']	2	6	4	
you3zi3	y#3zi3	['you', 'zi']	2	5	4	
gai1you2	g#1y#2	['gai', 'you']	2	6	4	
diu1te4fei2	diu1te4f#2	['diu', 'te', 'fei']	3	8	7	
di1mi3diu1	di1mi3diu1	['di', 'mi', 'diu']	3	7	7	
xing4ming2	xjəŋ4mjəŋ2	['xing', 'ming']	2	8	8	
zuo4meng4	zuo4meŋ4	['zuo', 'meng']	2	7	6	
mi3jia1le4	mi3jia1le4	['mi', 'jia', 'le']	3	7	7	
ke3la1	ke3la1	['ke', 'la']	2	4	4	
piao1dang4	pi#1daŋ4	['piao', 'dang']	2	8	6	
qiu1tian1	qiu1tian1	['qiu', 'tian']	2	7	7	
shu	$u	['shu']	1	3	2	
wei1yan2	w#1yan2	['wei', 'yan']	2	6	5	
ya4xi1ya4	ya4xi1ya4	['ya', 'xi', 'ya']	3	6	6	
e2	e2	['e']	1	1	1	
jia2	jia2	['jia']	1	3	3	
ba2mo2	ba2mo2	['ba', 'mo']	2	4	4	
shi4mei3na2	$i4m#3na2	['shi', 'mei', 'na']	3	8	6	
bie2jia1mo2	bie2jia1mo2	['bie', 'jia', 'mo']	3	8	8	
tui1ya3tui1la3	tui1ya3tui1la3	['tui', 'ya', 'tui', 'la']	4	10	10	
sa1di2	sa1di2	['sa', 'di']	2	4	4	
fei1la1tie3fei1	f#1la1tie3f#1	['fei', 'la', 'tie', 'fei']	4	11	9	
lao3di3jia1	l#3di3jia1	['lao', 'di', 'jia']	3	8	7	
duan4lian4	duan4lian4	['duan', 'lian']	2	8	8	
ni2ge1la1	ni2ge1la1	['ni', 'ge', 'la']	3	6	6	
an1ti2pa4	an1ti2pa4	['an', 'ti', 'pa']	3	6	6	
ye1xi3bie2	ye1xi3bie2	['ye', 'xi', 'bie']	3	7	7	
